symbol,signal_date,entry_date,exit_date,entry_price,exit_price,return
A,2024-04-01,2024-04-02,2024-04-15,144.02,140.22,-0.02638522427440637
A,2024-09-05,2024-09-06,2024-09-19,138.45,141.95,0.025279884434814104
A,2024-10-04,2024-10-07,2024-10-18,144.13,138.83,-0.0367723582876569
A,2025-12-03,2025-12-04,2025-12-17,149.26,136.66,-0.08441645450891055
A,2026-07-07,2026-07-08,2026-07-21,129.09,132.86,0.029204431017120003
A,2026-07-22,2026-07-23,2026-08-05,139.26,141.11,0.013284503805830905
AA,2024-05-24,2024-05-28,2024-06-10,42.8,41.16,-0.03831775700934581
AA,2024-06-26,2024-06-27,2024-07-11,39.34,39.18,-0.004067107269954295
AA,2024-10-29,2024-10-30,2024-11-12,40.64,40.95,0.007627952755905554
AA,2024-11-13,2024-11-14,2024-11-27,41.1,45.88,0.11630170316301713
AA,2024-12-04,2024-12-05,2024-12-18,45.85,37.31,-0.18625954198473282
AA,2026-01-28,2026-01-29,2026-02-11,63.05,63.15,0.0015860428231562196
AA,2026-03-10,2026-03-11,2026-03-24,60.92,56.68,-0.06959947472094552
AA,2026-04-20,2026-04-21,2026-05-04,66.66,62.46,-0.06300630063006296
AA,2026-05-06,2026-05-07,2026-05-20,64.88,64.14,-0.01140567200986431
AAL,2024-03-07,2024-03-08,2024-03-21,14.94,14.78,-0.010709504685408322
AAL,2025-01-28,2025-01-29,2025-02-11,17.14,16.41,-0.04259043173862309
AAL,2025-08-11,2025-08-12,2025-08-25,11.78,13.0,0.10356536502546687
AAL,2025-08-26,2025-08-27,2025-09-10,13.13,12.82,-0.023610053313023682
AAL,2026-06-05,2026-06-08,2026-06-22,13.49,16.08,0.19199406968124522
AAL,2026-07-20,2026-07-21,2026-08-03,15.33,16.04,0.04631441617742982
AAOI,2023-09-11,2023-09-12,2023-09-25,11.65,9.39,-0.19399141630901284
AAOI,2024-01-04,2024-01-05,2024-01-19,18.41,15.81,-0.14122759369907656
AAOI,2024-12-11,2024-12-12,2024-12-26,33.5,40.94,0.222089552238806
AAOI,2024-12-31,2025-01-02,2025-01-16,35.97,30.88,-0.14150681123158182
AAOI,2025-01-17,2025-01-21,2025-02-03,33.21,25.83,-0.22222222222222232
AAOI,2025-07-21,2025-07-22,2025-08-04,28.18,22.19,-0.21256210078069548
AAOI,2026-02-05,2026-02-06,2026-02-20,40.15,51.68,0.2871731008717311
AAOI,2026-03-27,2026-03-30,2026-04-13,99.74,153.19,0.5358933226388611
AAOI,2026-05-19,2026-05-20,2026-06-03,177.0,184.07,0.0399435028248587
AAOI,2026-06-10,2026-06-11,2026-06-25,167.555,138.54,-0.1731670197845484
AAPL,2023-12-19,2023-12-20,2024-01-04,196.9,181.91,-0.07613001523616059
AAPL,2024-07-19,2024-07-22,2024-08-02,227.01,219.86,-0.0314964098497863
AAPL,2024-08-08,2024-08-09,2024-08-22,212.1,224.53,0.05860443187175868
AAPL,2024-10-03,2024-10-04,2024-10-17,227.9,232.15,0.01864853005704248
AAPL,2024-10-24,2024-10-25,2024-11-07,229.74,227.48,-0.00983720727779236
AAPL,2024-11-08,2024-11-11,2024-11-22,225.0,229.87,0.021644444444444355
AAPL,2025-01-03,2025-01-06,2025-01-21,244.31,222.64,-0.08869878433138234
AAPL,2025-10-23,2025-10-24,2025-11-06,261.19,269.77,0.032849649680309234
AAPL,2025-12-05,2025-12-08,2025-12-19,278.13,273.67,-0.016035666774529833
AAPL,2025-12-22,2025-12-23,2026-01-07,270.84,260.33,-0.038805198641264194
AAPL,2026-06-04,2026-06-05,2026-06-18,312.86,298.01,-0.04746531995141601
AAPL,2026-08-07,2026-08-10,2026-08-21,306.83,309.35,0.008213016980086918
AAPL,2026-08-24,2026-08-25,2026-09-08,310.79,316.22,0.01747160462048325
ABBV,2024-03-18,2024-03-19,2024-04-02,178.19,180.69,0.014029968011672889
ABBV,2024-07-19,2024-07-22,2024-08-02,173.32,189.29,0.09214170320793902
ABBV,2024-08-07,2024-08-08,2024-08-21,186.92,196.53,0.05141236892788359
ABBV,2024-08-30,2024-09-03,2024-09-16,196.14,195.73,-0.0020903436320994784
ABBV,2024-09-19,2024-09-20,2024-10-03,193.0,195.45,0.012694300518134582
ABBV,2024-10-07,2024-10-08,2024-10-21,194.34,186.54,-0.04013584439641871
ABBV,2025-03-20,2025-03-21,2025-04-03,211.73,201.64,-0.04765503235252444
ABBV,2025-09-09,2025-09-10,2025-09-23,210.23,222.61,0.05888788469771211
ABBV,2025-10-08,2025-10-09,2025-10-22,233.27,228.68,-0.019676769408839556
ABBV,2025-10-24,2025-10-27,2025-11-07,227.95,219.16,-0.03856108795788549
ABBV,2026-08-07,2026-08-10,2026-08-21,245.65,264.96,0.0786077752900467
ABNB,2024-01-05,2024-01-08,2024-01-22,137.31,142.01,0.03422911659748018
ABNB,2024-02-01,2024-02-02,2024-02-15,143.99,157.69,0.09514549621501489
ABNB,2024-02-21,2024-02-22,2024-03-06,151.02,163.87,0.08508806780558853
ABNB,2024-03-18,2024-03-19,2024-04-02,161.49,160.11,-0.00854542076908782
ABNB,2024-04-03,2024-04-04,2024-04-17,161.22,158.37,-0.01767770748046149
ABNB,2024-04-22,2024-04-23,2024-05-06,157.24,162.0,0.030272195370134813
ABNB,2025-07-16,2025-07-17,2025-07-30,137.58,134.75,-0.020569850268934542
ABNB,2026-05-29,2026-06-01,2026-06-12,133.31,132.28,-0.007726352111619539
ABT,2024-02-14,2024-02-15,2024-02-29,112.27,118.64,0.05673822036162823
ABT,2024-09-06,2024-09-09,2024-09-20,114.46,113.7,-0.006639874191857298
ABT,2024-09-26,2024-09-27,2024-10-10,112.93,115.62,0.023820065527317746
ABT,2024-10-23,2024-10-24,2024-11-06,117.21,116.8,-0.0034979950516167424
ABT,2024-11-11,2024-11-12,2024-11-25,116.68,118.13,0.012427151182721863
ABT,2024-12-05,2024-12-06,2024-12-19,115.13,112.42,-0.023538608529488303
ABT,2025-03-13,2025-03-14,2025-03-27,125.0,131.35,0.050799999999999956
ABT,2025-06-10,2025-06-11,2025-06-25,134.1,137.4,0.024608501118568382
ABT,2025-06-27,2025-06-30,2025-07-14,134.0,132.03,-0.014701492537313454
ABT,2025-09-26,2025-09-29,2025-10-10,133.0,132.57,-0.003233082706766921
ACA,2023-09-11,2023-09-12,2023-09-25,75.33,73.9,-0.018983140846940083
ACA,2024-01-11,2024-01-12,2024-01-26,79.67,78.52,-0.014434542487762103
ACA,2024-02-06,2024-02-07,2024-02-21,80.81,81.32,0.006311100111372259
ACA,2024-02-26,2024-02-27,2024-03-11,81.8,83.86,0.02518337408312954
ACA,2024-03-26,2024-03-27,2024-04-10,85.5,81.45,-0.047368421052631504
ACA,2024-04-11,2024-04-12,2024-04-25,81.34,76.7,-0.057044504548807495
ACA,2024-06-18,2024-06-20,2024-07-03,83.82,82.0,-0.021713194941541336
ACA,2024-10-07,2024-10-08,2024-10-21,93.88,93.67,-0.0022368981678738686
ACA,2024-10-23,2024-10-24,2024-11-06,93.25,103.16,0.10627345844504021
ACA,2024-12-06,2024-12-09,2024-12-20,108.94,99.35,-0.08803010831650449
ACA,2025-12-18,2025-12-19,2026-01-05,109.17,108.86,-0.002839607950902323
ACA,2026-01-26,2026-01-27,2026-02-09,113.87,126.56,0.11144287345218218
ACA,2026-06-03,2026-06-04,2026-06-17,123.14,133.13,0.08112717232418376
ACA,2026-07-22,2026-07-23,2026-08-05,144.66,145.32,0.004562422231439323
ACA,2026-08-07,2026-08-10,2026-08-21,144.85,144.9,0.00034518467380051376
ACGL,2023-11-06,2023-11-07,2023-11-20,85.15,84.46,-0.008103347034644881
ACGL,2023-11-24,2023-11-27,2023-12-08,86.64,79.3,-0.0847183748845799
ACGL,2024-03-04,2024-03-05,2024-03-18,87.4,91.4,0.04576659038901609
ACGL,2024-03-22,2024-03-25,2024-04-08,90.86,94.55,0.040611930442438826
ACGL,2024-04-10,2024-04-11,2024-04-24,91.49,93.19,0.018581265712099615
ACGL,2024-04-25,2024-04-26,2024-05-09,92.11,99.63,0.08164151557919874
ACGL,2024-05-14,2024-05-15,2024-05-29,97.38,101.55,0.042821934688847874
ACGL,2024-06-06,2024-06-07,2024-06-21,100.68,101.89,0.012018275725069527
ACGL,2024-07-05,2024-07-08,2024-07-19,98.57,96.1,-0.025058334178756247
ACGL,2024-09-23,2024-09-24,2024-10-07,113.66,107.79,-0.051645257786380294
ACGL,2024-10-11,2024-10-14,2024-10-25,113.1,105.3,-0.06896551724137934
ACGL,2026-08-03,2026-08-04,2026-08-17,100.09,97.81,-0.02277949845139371
ACGL,2026-08-21,2026-08-24,2026-09-04,100.0,98.1,-0.019000000000000017
ACM,2024-01-22,2024-01-23,2024-02-05,89.26,88.75,-0.005713645529912714
ACM,2024-04-19,2024-04-22,2024-05-03,94.16,94.72,0.005947323704333041
ACM,2024-09-09,2024-09-10,2024-09-23,94.44,101.97,0.07973316391359586
ACM,2024-11-11,2024-11-12,2024-11-25,111.85,116.89,0.04506034868126951
ACM,2024-12-04,2024-12-05,2024-12-18,115.15,106.93,-0.07138514980460264
ACM,2025-06-26,2025-06-27,2025-07-11,112.41,114.44,0.018058891557690693
ACM,2025-07-17,2025-07-18,2025-07-31,114.35,112.74,-0.014079580236117217
ACM,2025-08-18,2025-08-19,2025-09-02,120.07,124.94,0.04055967352377787
ACM,2025-09-26,2025-09-29,2025-10-10,130.08,128.8,-0.009840098400983988
ACM,2025-10-24,2025-10-27,2025-11-07,134.11,130.75,-0.025054060099918063
ACN,2023-09-25,2023-09-26,2023-10-09,312.72,312.01,-0.0022704016372474545
ACN,2024-03-13,2024-03-14,2024-03-27,380.98,340.94,-0.10509738043991812
ACN,2024-09-09,2024-09-10,2024-09-23,343.81,339.21,-0.013379482853901892
ACN,2024-10-08,2024-10-09,2024-10-22,360.98,371.79,0.029946257410382815
ACN,2024-11-18,2024-11-19,2024-12-03,351.25,352.54,0.0036725978647687008
ADBE,2023-09-18,2023-09-19,2023-10-02,531.35,521.13,-0.019234026536181448
ADBE,2023-12-15,2023-12-18,2024-01-02,591.52,580.07,-0.019356911008926003
ADC,2025-03-20,2025-03-21,2025-04-03,76.27,76.79,0.006817883833748706
ADC,2025-04-25,2025-04-28,2025-05-09,75.6,75.17,-0.005687830687830631
ADC,2026-08-05,2026-08-06,2026-08-19,76.52,74.39,-0.027835859905906868
ADI,2024-01-05,2024-01-08,2024-01-22,187.18,197.31,0.05411902981087713
ADI,2024-02-09,2024-02-12,2024-02-26,194.68,189.01,-0.029124717485103813
ADI,2024-04-16,2024-04-17,2024-04-30,192.42,200.61,0.04256314312441556
ADI,2024-06-21,2024-06-24,2024-07-08,231.05,233.34,0.009911274615884036
ADI,2024-10-18,2024-10-21,2024-11-01,226.3,225.48,-0.003623508616880322
ADI,2024-11-04,2024-11-05,2024-11-18,219.31,209.65,-0.04404723906798591
ADI,2025-07-25,2025-07-28,2025-08-08,228.91,223.95,-0.02166790441658295
ADI,2025-09-30,2025-10-01,2025-10-14,243.71,235.4,-0.034097903245660866
ADI,2026-03-04,2026-03-05,2026-03-18,336.75,308.59,-0.08362286562732002
ADI,2026-05-28,2026-05-29,2026-06-11,423.45,412.13,-0.026732790175935772
ADI,2026-06-24,2026-06-25,2026-07-09,424.25,393.64,-0.07215085444902769
ADM,2025-09-12,2025-09-15,2025-09-26,61.4,60.6,-0.013029315960912058
ADM,2025-09-30,2025-10-01,2025-10-14,60.07,61.85,0.029632095888130427
ADM,2025-10-23,2025-10-24,2025-11-06,62.5,56.72,-0.09248
ADM,2026-03-31,2026-04-01,2026-04-15,73.32,66.95,-0.08687943262411335
ADM,2026-04-22,2026-04-23,2026-05-06,69.45,78.02,0.12339812814974782
ADM,2026-05-22,2026-05-26,2026-06-08,77.85,80.22,0.030443159922928675
ADM,2026-06-23,2026-06-24,2026-07-08,75.975,80.29,0.056794998354722015
ADP,2024-06-18,2024-06-20,2024-07-03,244.76,236.91,-0.032072234025167456
ADP,2025-03-07,2025-03-10,2025-03-21,306.2,295.32,-0.03553233180927495
